instancia,metodo,tiempo,tamaño,costo,iteraciones,T
st70,BL-Tabu,191.054,70,776,100,10
swiss42,BL-Tabu,47.32,42,1478,100,10
ulysses16,BL-Tabu,7.81444,16,6913,100,10
ulysses22,BL-Tabu,11.9053,22,7475,100,10
gr17,BL-Tabu,27.253,17,2085,500,10
att48,BL-Tabu,317.577,48,12158,500,10
bayg29,BL-Tabu,84.4666,29,1842,500,10
bays29,BL-Tabu,84.4626,29,2096,500,10
berlin52,BL-Tabu,401.296,52,8667,500,10
brazil58,BL-Tabu,539.074,58,29406,500,10
burma14,BL-Tabu,19.678,14,3416,500,10
dantzig42,BL-Tabu,222.435,42,856,500,10
eil51,BL-Tabu,378.123,51,477,500,10
eil76,BL-Tabu,1172.1,76,612,500,10
fri26,BL-Tabu,66.6755,26,1034,500,10
gr17,BL-Tabu,24.7943,17,2085,500,10
gr21,BL-Tabu,41.6945,21,3303,500,10
gr24,BL-Tabu,53.8891,24,1457,500,10
gr48,BL-Tabu,323.744,48,5827,500,10
gr96,BL-Tabu,2245.83,96,63177,500,10
hk48,BL-Tabu,319.194,48,12696,500,10
kroA100,BL-Tabu,2547.5,100,24147,500,10
kroB100,BL-Tabu,2547.39,100,28598,500,10
kroC100,BL-Tabu,2544.2,100,25659,500,10
kroD100,BL-Tabu,2533.77,100,26579,500,10
kroE100,BL-Tabu,2591.27,100,26180,500,10
pr76,BL-Tabu,1156.98,76,119784,500,10
rat99,BL-Tabu,2453.36,99,1494,500,10
rd100,BL-Tabu,2538.57,100,9621,500,10
st70,BL-Tabu,932.703,70,776,500,10
swiss42,BL-Tabu,227.259,42,1478,500,10
ulysses16,BL-Tabu,22.8023,16,6913,500,10
ulysses22,BL-Tabu,43.9606,22,7475,500,10
gr17,BL-Tabu,48.8809,17,2085,1000,10
att48,BL-Tabu,635.64,48,12158,1000,10
bayg29,BL-Tabu,165.268,29,1842,1000,10
bays29,BL-Tabu,169.038,29,2096,1000,10
berlin52,BL-Tabu,795.089,52,8667,1000,10
brazil58,BL-Tabu,1109.8,58,29406,1000,10
burma14,BL-Tabu,34.7424,14,3416,1000,10
dantzig42,BL-Tabu,442.811,42,856,1000,10
eil51,BL-Tabu,753.221,51,477,1000,10
eil76,BL-Tabu,2315.75,76,612,1000,10
fri26,BL-Tabu,128.045,26,1034,1000,10
gr17,BL-Tabu,45.5566,17,2085,1000,10
gr21,BL-Tabu,73.5514,21,3303,1000,10
gr24,BL-Tabu,105.432,24,1457,1000,10
gr48,BL-Tabu,653.799,48,5827,1000,10
gr96,BL-Tabu,4667.03,96,63177,1000,10
hk48,BL-Tabu,663.564,48,12696,1000,10
kroA100,BL-Tabu,5091.56,100,24147,1000,10
kroB100,BL-Tabu,5160.91,100,28598,1000,10
kroC100,BL-Tabu,5214.0,100,25659,1000,10
kroD100,BL-Tabu,5179.33,100,26579,1000,10
kroE100,BL-Tabu,5142.93,100,26180,1000,10
pr76,BL-Tabu,2323.56,76,119784,1000,10
rat99,BL-Tabu,5019.27,99,1494,1000,10
rd100,BL-Tabu,5148.28,100,9621,1000,10
st70,BL-Tabu,1859.58,70,776,1000,10
swiss42,BL-Tabu,443.75,42,1478,1000,10
ulysses16,BL-Tabu,41.2789,16,6913,1000,10
ulysses22,BL-Tabu,83.0198,22,7475,1000,10
gr17,BL-Tabu,12.2353,17,2085,100,100
att48,BL-Tabu,71.5902,48,12158,100,100
bayg29,BL-Tabu,22.5301,29,1781,100,100
bays29,BL-Tabu,24.2877,29,2096,100,100
berlin52,BL-Tabu,87.6338,52,8667,100,100
brazil58,BL-Tabu,115.94,58,29406,100,100
burma14,BL-Tabu,10.3673,14,3416,100,100
dantzig42,BL-Tabu,54.0041,42,856,100,100
eil51,BL-Tabu,83.9138,51,477,100,100
eil76,BL-Tabu,242.65,76,612,100,100
fri26,BL-Tabu,19.3782,26,1034,100,100
