instancia,metodo,tiempo,tamaño,costo,iteraciones,T
50,BL,0.353036,50,389,,
50,BL,0.503726,50,320,,
50,BL,0.403009,50,416,,
50,BL,0.410943,50,278,,
50,BL,0.66767,50,294,,
50,BL,0.288446,50,471,,
50,BL,0.402518,50,322,,
50,BL,0.411886,50,318,,
50,BL,0.74785,50,387,,
50,BL,0.402197,50,317,,
50,BL,0.40379,50,395,,
50,BL-Tabu,1085.94,50,397,1000,1000
50,BL-Tabu,1076.32,50,442,1000,1000
50,BL-Tabu,1120.44,50,322,1000,1000
50,BL-Tabu,1088.09,50,412,1000,1000
50,BL-Tabu,1111.3,50,413,1000,1000
50,BL-Tabu,1103.84,50,339,1000,1000
50,BL-Tabu,1088.63,50,385,1000,1000
50,BL-Tabu,1078.59,50,335,1000,1000
50,BL-Tabu,1104.72,50,288,1000,1000
50,BL-Tabu,1112.61,50,417,1000,1000
50,BL-Tabu,1080.82,50,356,1000,1000
50,BL-Tabu,1088.32,50,352,1000,1000
50,BL-Tabu,1090.91,50,344,1000,1000
50,BL-Tabu,1111.03,50,339,1000,1000
50,BL-Tabu,1084.83,50,368,1000,1000
50,BL-Tabu,1106.05,50,332,1000,1000
50,BL-Tabu,1097.42,50,339,1000,1000
50,BL-Tabu,1129.28,50,361,1000,1000
50,BL-Tabu,1104.7,50,345,1000,1000
50,BL-Tabu,1102.33,50,337,1000,1000
50,BL-Tabu,1107.77,50,359,1000,1000
50,BL-Tabu,1113.64,50,286,1000,1000
50,BL-Tabu,1119.2,50,303,1000,1000
50,BL-Tabu,1133.35,50,367,1000,1000
50,BL-Tabu,1100.98,50,343,1000,1000
50,BL-Tabu,1105.35,50,355,1000,1000
50,BL-Tabu,1098.51,50,361,1000,1000
50,BL-Tabu,1127.64,50,385,1000,1000
50,BL-Tabu,1118.25,50,382,1000,1000
50,BL-Tabu,1102.81,50,355,1000,1000
50,BL-Tabu,1114.28,50,345,1000,1000
50,BL-Tabu,1107.94,50,338,1000,1000
50,BL-Tabu,1118.52,50,373,1000,1000
50,BL-Tabu,1122.64,50,319,1000,1000
50,BL-Tabu,1099.12,50,411,1000,1000
50,BL-Tabu,1100.62,50,393,1000,1000
50,BL-Tabu,1145.4,50,350,1000,1000
50,BL-Tabu,1096.36,50,337,1000,1000
50,BL-Tabu,1121.8,50,395,1000,1000
50,BL-Tabu,1134.4,50,305,1000,1000
50,BL-Tabu,1119.29,50,375,1000,1000
50,BL-Tabu,1123.8,50,387,1000,1000
50,BL-Tabu,1129.17,50,375,1000,1000
50,BL-Tabu,1167.13,50,374,1000,1000
50,BL-Tabu,1171.85,50,386,1000,1000
50,BL-Tabu,1173.66,50,347,1000,1000
50,BL-Tabu,1129.38,50,345,1000,1000
50,BL-Tabu,1141.8,50,262,1000,1000
50,BL-Tabu,1113.09,50,427,1000,1000
50,BL-Tabu,1162.66,50,420,1000,1000
50,BL-Tabu,1141.71,50,352,1000,1000
50,BL-Tabu,1129.12,50,425,1000,1000
50,BL-Tabu,1089.38,50,386,1000,1000
50,BL-Tabu,1115.47,50,280,1000,1000
50,BL-Tabu,1107.29,50,386,1000,1000
