instancia,metodo,tiempo,tamaño,costo,tipo_memoria,iteraciones,T
pr439,BL-Tabu,244.272,439,144158,aristas,10000,3
pr76,BL-Tabu,7.24783,76,147714,aristas,10000,3
rat195,BL-Tabu,72.1789,195,3279,aristas,10000,3
rat99,BL-Tabu,13.3129,99,1636,aristas,10000,3
rd100,BL-Tabu,14.878,100,10469,aristas,10000,3
rd400,BL-Tabu,257.867,400,21106,aristas,10000,3
si175,BL-Tabu,39.4841,175,22993,aristas,10000,3
st70,BL-Tabu,7.2484,70,875,aristas,10000,3
swiss42,BL-Tabu,3.56346,42,1700,aristas,10000,3
ts225,BL-Tabu,80.9811,225,188044,aristas,10000,3
tsp225,BL-Tabu,65.2488,225,5325,aristas,10000,3
u159,BL-Tabu,36.77,159,54097,aristas,10000,3
ulysses16,BL-Tabu,0.419553,16,8140,aristas,10000,3
ulysses22,BL-Tabu,0.677551,22,8312,aristas,10000,3
gr17,BL-Tabu,0.640403,17,2370,aristas,20000,3
a280,BL-Tabu,109.364,280,3493,aristas,20000,3
att48,BL-Tabu,4.32322,48,13929,aristas,20000,3
bayg29,BL-Tabu,1.47972,29,2203,aristas,20000,3
bays29,BL-Tabu,1.53882,29,2690,aristas,20000,3
berlin52,BL-Tabu,4.39009,52,10414,aristas,20000,3
bier127,BL-Tabu,20.4845,127,155477,aristas,20000,3
brazil58,BL-Tabu,7.67587,58,30367,aristas,20000,3
brg180,BL-Tabu,78.3881,180,120770,aristas,20000,3
burma14,BL-Tabu,0.445564,14,4091,aristas,20000,3
ch130,BL-Tabu,24.6679,130,8280,aristas,20000,3
ch150,BL-Tabu,37.4842,150,9320,aristas,20000,3
d198,BL-Tabu,57.3598,198,19348,aristas,20000,3
d493,BL-Tabu,370.584,493,45335,aristas,20000,3
dantzig42,BL-Tabu,3.40481,42,920,aristas,20000,3
eil51,BL-Tabu,4.19783,51,606,aristas,20000,3
eil76,BL-Tabu,8.27941,76,732,aristas,20000,3
fl417,BL-Tabu,278.49,417,16017,aristas,20000,3
fri26,BL-Tabu,1.38902,26,1137,aristas,20000,3
gil262,BL-Tabu,107.499,262,3266,aristas,20000,3
gr120,BL-Tabu,18.8025,120,9920,aristas,20000,3
gr137,BL-Tabu,23.6237,137,94475,aristas,20000,3
gr17,BL-Tabu,0.628449,17,2370,aristas,20000,3
gr202,BL-Tabu,54.8821,202,52616,aristas,20000,3
gr21,BL-Tabu,0.864006,21,3747,aristas,20000,3
gr229,BL-Tabu,69.4174,229,179347,aristas,20000,3
gr24,BL-Tabu,1.17131,24,1643,aristas,20000,3
gr431,BL-Tabu,254.02,431,228527,aristas,20000,3
gr48,BL-Tabu,3.73422,48,7188,aristas,20000,3
gr96,BL-Tabu,11.7197,96,75251,aristas,20000,3
hk48,BL-Tabu,4.17769,48,14964,aristas,20000,3
kroA100,BL-Tabu,14.068,100,30517,aristas,20000,3
kroA150,BL-Tabu,27.9819,150,38780,aristas,20000,3
kroA200,BL-Tabu,50.8452,200,40235,aristas,20000,3
kroB100,BL-Tabu,14.8663,100,28808,aristas,20000,3
kroB150,BL-Tabu,28.1511,150,35291,aristas,20000,3
kroB200,BL-Tabu,69.3789,200,40616,aristas,20000,3
kroC100,BL-Tabu,16.0442,100,27637,aristas,20000,3
kroD100,BL-Tabu,15.2923,100,28600,aristas,20000,3
kroE100,BL-Tabu,16.5422,100,30967,aristas,20000,3
lin105,BL-Tabu,14.1351,105,21177,aristas,20000,3
lin318,BL-Tabu,161.769,318,60985,aristas,20000,3
linhp318,BL-Tabu,151.749,318,60985,aristas,20000,3
pcb442,BL-Tabu,309.376,442,71278,aristas,20000,3
pr107,BL-Tabu,14.4423,107,55997,aristas,20000,3
pr124,BL-Tabu,22.5208,124,82762,aristas,20000,3
pr136,BL-Tabu,26.0913,136,146990,aristas,20000,3
pr144,BL-Tabu,29.5642,144,77735,aristas,20000,3
pr152,BL-Tabu,34.6893,152,90293,aristas,20000,3
pr226,BL-Tabu,81.4807,226,114826,aristas,20000,3
pr264,BL-Tabu,118.781,264,66415,aristas,20000,3
pr299,BL-Tabu,125.333,299,66919,aristas,20000,3
pr439,BL-Tabu,257.941,439,144158,aristas,20000,3
pr76,BL-Tabu,8.33952,76,147714,aristas,20000,3
rat195,BL-Tabu,60.8625,195,3279,aristas,20000,3
rat99,BL-Tabu,13.6213,99,1636,aristas,20000,3
rd100,BL-Tabu,15.2028,100,10469,aristas,20000,3
rd400,BL-Tabu,308.479,400,21106,aristas,20000,3
si175,BL-Tabu,39.2849,175,22993,aristas,20000,3
st70,BL-Tabu,7.27531,70,875,aristas,20000,3
swiss42,BL-Tabu,3.29246,42,1700,aristas,20000,3
ts225,BL-Tabu,85.5237,225,188044,aristas,20000,3
tsp225,BL-Tabu,67.8545,225,5325,aristas,20000,3
u159,BL-Tabu,36.3871,159,54097,aristas,20000,3
ulysses16,BL-Tabu,0.426918,16,8140,aristas,20000,3
ulysses22,BL-Tabu,0.847949,22,8312,aristas,20000,3
gr17,BL-Tabu,0.426498,17,2370,aristas,30000,3
a280,BL-Tabu,111.457,280,3493,aristas,30000,3
att48,BL-Tabu,4.15315,48,13929,aristas,30000,3
bayg29,BL-Tabu,1.49774,29,2203,aristas,30000,3
bays29,BL-Tabu,1.56401,29,2690,aristas,30000,3
berlin52,BL-Tabu,5.01175,52,10414,aristas,30000,3
bier127,BL-Tabu,20.034,127,155477,aristas,30000,3
brazil58,BL-Tabu,8.44977,58,30367,aristas,30000,3
brg180,BL-Tabu,63.0519,180,120770,aristas,30000,3
burma14,BL-Tabu,0.356671,14,4091,aristas,30000,3
ch130,BL-Tabu,25.1053,130,8280,aristas,30000,3
ch150,BL-Tabu,30.6015,150,9320,aristas,30000,3
d198,BL-Tabu,58.4367,198,19348,aristas,30000,3
d493,BL-Tabu,326.096,493,45335,aristas,30000,3
dantzig42,BL-Tabu,3.55922,42,920,aristas,30000,3
eil51,BL-Tabu,3.77119,51,606,aristas,30000,3
eil76,BL-Tabu,8.54099,76,732,aristas,30000,3
fl417,BL-Tabu,257.737,417,16017,aristas,30000,3
fri26,BL-Tabu,1.34774,26,1137,aristas,30000,3
gil262,BL-Tabu,111.201,262,3266,aristas,30000,3
gr120,BL-Tabu,19.7091,120,9920,aristas,30000,3
gr137,BL-Tabu,23.9088,137,94475,aristas,30000,3
gr17,BL-Tabu,0.527282,17,2370,aristas,30000,3
gr202,BL-Tabu,51.3349,202,52616,aristas,30000,3
gr21,BL-Tabu,0.723528,21,3747,aristas,30000,3
gr229,BL-Tabu,68.2005,229,179347,aristas,30000,3
gr24,BL-Tabu,1.60895,24,1643,aristas,30000,3
gr431,BL-Tabu,279.724,431,228527,aristas,30000,3
gr48,BL-Tabu,4.63914,48,7188,aristas,30000,3
gr96,BL-Tabu,12.3657,96,75251,aristas,30000,3
hk48,BL-Tabu,3.40574,48,14964,aristas,30000,3
kroA100,BL-Tabu,13.8791,100,30517,aristas,30000,3
kroA150,BL-Tabu,28.8512,150,38780,aristas,30000,3
kroA200,BL-Tabu,66.4465,200,40235,aristas,30000,3
kroB100,BL-Tabu,14.0603,100,28808,aristas,30000,3
kroB150,BL-Tabu,30.1381,150,35291,aristas,30000,3
kroB200,BL-Tabu,58.1906,200,40616,aristas,30000,3
kroC100,BL-Tabu,14.2271,100,27637,aristas,30000,3
kroD100,BL-Tabu,14.3737,100,28600,aristas,30000,3
kroE100,BL-Tabu,15.8846,100,30967,aristas,30000,3
lin105,BL-Tabu,14.0387,105,21177,aristas,30000,3
lin318,BL-Tabu,129.049,318,60985,aristas,30000,3
linhp318,BL-Tabu,158.116,318,60985,aristas,30000,3
pcb442,BL-Tabu,267.04,442,71278,aristas,30000,3
pr107,BL-Tabu,14.9421,107,55997,aristas,30000,3
pr124,BL-Tabu,22.6545,124,82762,aristas,30000,3
pr136,BL-Tabu,26.9483,136,146990,aristas,30000,3
pr144,BL-Tabu,29.3475,144,77735,aristas,30000,3
pr152,BL-Tabu,35.2165,152,90293,aristas,30000,3
pr226,BL-Tabu,104.227,226,114826,aristas,30000,3
pr264,BL-Tabu,131.762,264,66415,aristas,30000,3
pr299,BL-Tabu,126.78,299,66919,aristas,30000,3
pr439,BL-Tabu,303.705,439,144158,aristas,30000,3
pr76,BL-Tabu,8.36637,76,147714,aristas,30000,3
rat195,BL-Tabu,69.0533,195,3279,aristas,30000,3
rat99,BL-Tabu,13.9516,99,1636,aristas,30000,3
rd100,BL-Tabu,14.2002,100,10469,aristas,30000,3
rd400,BL-Tabu,279.601,400,21106,aristas,30000,3
si175,BL-Tabu,39.9575,175,22993,aristas,30000,3
st70,BL-Tabu,5.85355,70,875,aristas,30000,3
swiss42,BL-Tabu,4.352,42,1700,aristas,30000,3
ts225,BL-Tabu,83.2329,225,188044,aristas,30000,3
tsp225,BL-Tabu,64.8067,225,5325,aristas,30000,3
u159,BL-Tabu,36.6365,159,54097,aristas,30000,3
ulysses16,BL-Tabu,0.501912,16,8140,aristas,30000,3
ulysses22,BL-Tabu,0.892422,22,8312,aristas,30000,3
gr17,BL-Tabu,0.454998,17,2370,aristas,40000,3
a280,BL-Tabu,113.145,280,3493,aristas,40000,3
att48,BL-Tabu,4.23955,48,13929,aristas,40000,3
bayg29,BL-Tabu,1.18229,29,2203,aristas,40000,3
bays29,BL-Tabu,1.87591,29,2690,aristas,40000,3
berlin52,BL-Tabu,5.15534,52,10414,aristas,40000,3
bier127,BL-Tabu,20.0689,127,155477,aristas,40000,3
brazil58,BL-Tabu,9.3377,58,30367,aristas,40000,3
brg180,BL-Tabu,75.2179,180,120770,aristas,40000,3
burma14,BL-Tabu,0.435639,14,4091,aristas,40000,3
ch130,BL-Tabu,25.8984,130,8280,aristas,40000,3
ch150,BL-Tabu,28.5785,150,9320,aristas,40000,3
d198,BL-Tabu,57.2868,198,19348,aristas,40000,3
d493,BL-Tabu,397.321,493,45335,aristas,40000,3
dantzig42,BL-Tabu,2.9248,42,920,aristas,40000,3
eil51,BL-Tabu,4.75751,51,606,aristas,40000,3
eil76,BL-Tabu,7.28389,76,732,aristas,40000,3
fl417,BL-Tabu,245.217,417,16017,aristas,40000,3
fri26,BL-Tabu,1.08986,26,1137,aristas,40000,3
gil262,BL-Tabu,90.0509,262,3266,aristas,40000,3
gr120,BL-Tabu,18.7911,120,9920,aristas,40000,3
